Epoch,Train Loss,Valid Loss,Valid Dice
1,0.2523993167576777,0.21167833399698602,0.8650552826638548
2,0.1744122901007573,0.15503841492792833,0.9008961975204278
3,0.16453355910311435,0.1488383293429517,0.9042466458696756
4,0.1588516778944325,0.14683482367892442,0.9058647675914053
5,0.1531690878858515,0.1442257304739508,0.9071174356507958
6,0.14960032169764548,0.15011902079448936,0.9034090640011782
7,0.1474052657830172,0.1377097490179983,0.9114989360667164
8,0.1433688685617562,0.13948239335177107,0.9104352528634279
9,0.14204781225235788,0.1526488988480953,0.9017379763333694
10,0.13858290665830428,0.1376397507207364,0.9110451866380916
11,0.1402492250697862,0.1414491364396877,0.9087867562815269
12,0.1369498575141219,0.14292838908037783,0.9082202576332211
13,0.13553210118980255,0.1425830145245013,0.9084790369368488
14,0.1342490649255287,0.13433195396054606,0.9133309249922356
15,0.13404874343015552,0.13409010165874263,0.913521330919325
16,0.13393324838087323,0.13688072025405695,0.9116541454510659
