Epoch,Train Loss,Valid Loss,Valid PSNR,Valid SSIM,Temporal Consistency
1,0.009742056355890876,0.0052230059724555624,22.859146811206887,0.4356573095417911,0.003231931797384938
2,0.004534850711825105,0.0041702851893160465,23.857751307280168,0.6663190239334699,0.003136382342796333
3,0.004214205717442124,0.003520935918464794,24.595657810661365,0.7095687204266187,0.0032234663579046078
4,0.003940316345867042,0.0035966055558832445,24.503113219456644,0.7522487412698521,0.0032503322975837297
5,0.0037703840927846544,0.003347288746305782,24.81743880680629,0.6143276000985448,0.0031982923724821638
6,0.003682243755886959,0.0032797268832605677,24.91185504605311,0.743208455558149,0.00320476324800749
7,0.0035982441359835226,0.003553848730990235,24.555661337716238,0.6882295234603171,0.0032174156440757445
8,0.003538444490818842,0.00336842285758405,24.788331529368524,0.7604011724824491,0.003206271775824637
9,0.003510138278762197,0.003043913951299807,25.241135946712138,0.7495926144700613,0.0031550646121816144
10,0.0034772154657084094,0.0030930583511323013,25.162161809317073,0.761987084557551,0.003171904018345457
11,0.0034342583606976514,0.0042420838943607415,23.777937741013048,0.6256511046649507,0.0031848784531784816
12,0.0034448955536490007,0.004221269831217548,23.79798035592026,0.7440380331892404,0.0032509931063811693
13,0.0034243198943792854,0.004356149046086007,23.663604380921548,0.5846376448684598,0.0031966099581357253
14,0.0034095525185777807,0.003288571176159641,24.886063042634763,0.7150355999514183,0.0031619606906929925
