Epoch,Train Loss,Valid Loss,Valid Dice
1,0.24118821129562387,0.17833184962224516,0.8873538313815312
2,0.17793872825821347,0.16523130527286797,0.8933351369377989
3,0.1695414035233991,0.17427654092356284,0.8903574591838055
4,0.16188436148952862,0.14879958271424962,0.9048936715037186
5,0.15550818633857424,0.1491953284936662,0.904035639873943
6,0.1529253802094958,0.15346118134463796,0.9018664732112648
7,0.15301066659810397,0.14187167925031288,0.909075137806235
8,0.1489705153828332,0.14268448370398942,0.908267644436463
9,0.14764902387962903,0.14395465697190776,0.9078249498183683
10,0.14387005488850158,0.14010727909966286,0.9096965284451194
11,0.14339084381152734,0.14066497838089925,0.909394943936271
12,0.14035088883328373,0.1366070453193247,0.9118360077372248
13,0.13950060062290195,0.14248006304968958,0.9081499078629179
14,0.13860229967666376,0.13801033197907928,0.9113237028536589
15,0.13653440599706793,0.13513755162032495,0.9127824415701516
16,0.13717219051343188,0.13406780306596933,0.9134211408795777
17,0.13447254628901828,0.14901193270679586,0.9053611331474707
